Input masked function,Exact Match?,Expected if condition,Predicted if condition,CodeBLEU score,BLEU-4 score
"def get_transaction_execution_results(self, batch_signature): <TAB> with self._condition: <TAB>  <TAB> batch_status = self._batch_statuses.get(batch_signature) <TAB>  <TAB> if batch_status is None: <TAB>  <TAB>  <TAB> return None <TAB>  <TAB> annotated_batch = self._batch_by_id.get(batch_signature) <TAB>  <TAB> if annotated_batch is None: <TAB>  <TAB>  <TAB> return None <TAB>  <TAB> results = [] <TAB>  <TAB> for txn in annotated_batch.batch.transactions: <TAB>  <TAB>  <TAB> result = self._txn_results.get(txn.header_signature) <MASK> results.append(result) <TAB>  <TAB> return results,if result is not None :,161",FALSE,"if', ' result', ' is', ' not', ' None', ' :', 'el',","if', ' result', ' is', ' not', ' None', ' :',",0,0
"def one_xmm_reg_imm8(ii):  # also allows SSE4 2-imm8 instr <TAB> i, j, n = 0, 0, 0 <TAB> for op in _gen_opnds(ii): <TAB>  <TAB> if op_reg(op) and op_xmm(op): <TAB>  <TAB>  <TAB> n += 1 <TAB>  <TAB> elif op_imm8(op): <TAB>  <TAB>  <TAB> i += 1 <MASK> j += 1 <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> return False <TAB> return n == 1 and i == 1 and j <= 1,elif op_imm8_2 ( op ) :,141",FALSE,"if', ' op', '_', 'im', 'm', '8', '_', '2', ' (', ' op', ' )', ' :',","if', ' op', '_', 'im', 'm', '4', ' (', 'op', ' (', ' op', ' )', ' :',",0,0
"def whichmodule(obj, name): <TAB> """"""Find the module an object belong to."""""" <TAB> module_name = getattr(obj, ""__module__"", None) <TAB> if module_name is not None: <TAB>  <TAB> return module_name <TAB> # Protect the iteration by using a list copy of sys.modules against dynamic <TAB> # modules that trigger imports of other modules upon calls to getattr. <TAB> for module_name, module in sys.modules.copy().items(): <TAB>  <TAB> if module_name == ""__main__"" or module is None: <TAB>  <TAB>  <TAB> continue <TAB>  <TAB> try: <MASK> return module_name <TAB>  <TAB> except AttributeError: <TAB>  <TAB>  <TAB> pass <TAB> return ""__main__"",""if _getattribute ( module , name ) [ 0 ] is obj :"",171",FALSE,"if', ' _', 'get', 'attribute', ' (', ' module', ' ,', ' name', ' )', ' [', ' 0', ' ]', ' is', ' obj', ' :',","if', ' module', 'module', 'attr', ' (', ' module', ' ,', ' name', ' )', ' ==', ' 0', ' ]', ' ==', ' not', ' :',",0,0
"def get_ld_header_info(p): <TAB> # ""nested-function, but placed at module level <TAB> # as an ld_header was found, return known paths, archives and members <TAB> # these lines start with a digit <TAB> info = [] <TAB> for line in p.stdout: <MASK> info.append(line) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> # blank line (separator), consume line and end for loop <TAB>  <TAB>  <TAB> break <TAB> return info,""if re . match ( """"[0-9]"""" , line ) :"",120",FALSE,"if', ' re', ' .', ' match', ' (', ' ""[', '0', '-', '9', ']""', ' ,', ' line', ' )', ' :',","if', ' line', ' .', ' search', ' (', ' r', '^', '-', '9', 'a', ' ,', ' line', ' )', ' :',",0,0
"def write(self, s): <TAB> if self.closed: <TAB>  <TAB> raise ValueError(""write to closed file"") <TAB> if type(s) not in (unicode, str, bytearray): <TAB>  <TAB> # See issue #19481 <MASK> s = unicode.__getitem__(s, slice(None)) <TAB>  <TAB> elif isinstance(s, str): <TAB>  <TAB>  <TAB> s = str.__str__(s) <TAB>  <TAB> elif isinstance(s, bytearray): <TAB>  <TAB>  <TAB> s = bytearray.__str__(s) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> raise TypeError(""must be string, not "" + type(s).__name__) <TAB> return self.shell.write(s, self.tags),""if isinstance ( s , unicode ) :"",161",FALSE,"if', ' isinstance', ' (', ' s', ' ,', ' unicode', ' )', ' :',","if', ' isinstance', ' (', ' s', ' ,', ' slice', ' )', ' :',",0,0
"def generate_forwards(cls, attrs): <TAB> # forward functions of _forwards <TAB> for attr_name, attr in cls._forwards.__dict__.items(): <MASK> continue <TAB>  <TAB> if isinstance(attr, property): <TAB>  <TAB>  <TAB> cls._forward.append(attr_name) <TAB>  <TAB> elif isinstance(attr, types.FunctionType): <TAB>  <TAB>  <TAB> wrapper = _forward_factory(cls, attr_name, attr) <TAB>  <TAB>  <TAB> setattr(cls, attr_name, wrapper) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> raise TypeError(attr_name, type(attr)),""if attr_name . startswith ( """"_"""" ) or attr_name in attrs :"",146",FALSE,"if', ' attr', '_', 'name', ' .', ' startswith', ' (', ' ""_""', ' )', ' or', ' attr', '_', 'name', ' in', ' attrs', ' :',","if', ' attr', '_', 'name', ' in', ' startswith', ' (', ' ""_""', ' )', ' or', ' attr', '_', 'name', ' .', ' attrs', ' :',",0,0
"def _user_has_dnd(bot, user_id): <TAB> try: <TAB>  <TAB> return bot.call_shared(""dnd.user_check"", user_id)  # shared dnd check <TAB> except KeyError: <TAB>  <TAB> logger.warning(""mentions: falling back to legacy _user_has_dnd()"") <TAB>  <TAB> initiator_has_dnd = False <MASK> donotdisturb = bot.memory.get(""donotdisturb"") <TAB>  <TAB>  <TAB> if user_id in donotdisturb: <TAB>  <TAB>  <TAB>  <TAB> initiator_has_dnd = True <TAB>  <TAB> return initiator_has_dnd,""if bot . memory . exists ( [ """"donotdisturb"""" ] ) :"",162",FALSE,"if', ' bot', ' .', ' memory', ' .', ' exists', ' (', ' [', ' ""', 'don', 'ot', 'dist', 'urb', '""', ' ]', ' )', ' :',","if', ' bot', ' .', ' memory', ' :', ' get', ' (', ' ""', ' user', 'don', 'ot', 'dist', 'urb', '""', ' ]', ' )', ' :',",0,0
"def init(self): <TAB> """"""Initialize a fighter from the database and validate"""""" <TAB> self.__item = None <TAB> if self.itemID: <TAB>  <TAB> self.__item = eos.db.getItem(self.itemID) <MASK> pyfalog.error(""Item (id: {0}) does not exist"", self.itemID) <TAB>  <TAB>  <TAB> return <TAB> if self.isInvalid: <TAB>  <TAB> pyfalog.error(""Item (id: {0}) is not a Fighter"", self.itemID) <TAB>  <TAB> return <TAB> self.build(),if self . __item is None :,141",FALSE,"if', ' self', ' .', ' __', 'item', ' is', ' None', ' :',","if', ' self', ' .', ' is', 'item', ' is', ' None', ' :',",0,0
"def _pg_sku_name_validator(sku_name, sku_info, tier): <TAB> if sku_name: <TAB>  <TAB> skus = get_postgres_skus(sku_info, tier) <MASK> error_msg = ( <TAB>  <TAB>  <TAB>  <TAB> ""Incorrect value for --sku-name. "" <TAB>  <TAB>  <TAB>  <TAB> + ""The SKU name does not match {} tier. Specify --tier if you did not. "".format( <TAB>  <TAB>  <TAB>  <TAB>  <TAB> tier <TAB>  <TAB>  <TAB>  <TAB> ) <TAB>  <TAB>  <TAB> ) <TAB>  <TAB>  <TAB> raise CLIError(error_msg + ""Allowed values : {}"".format(skus)),if sku_name not in skus :,156",FALSE,"if', ' sku', '_', 'name', ' not', ' in', ' sk', 'us', ' :',","if', ' not', '_', 'name', ' !=', ' in', ' sk', 'us', ' :',",0,0
"def _parse_paternity_log(writer, file): <TAB> parent_map = {} <TAB> parent_map[0] = 0 <TAB> for line in file.read().decode(""utf-8"").split(""\n""): <MASK> continue <TAB>  <TAB> elems = line.split("" "")  # <Child> <Parent> <TAB>  <TAB> if len(elems) >= 2: <TAB>  <TAB>  <TAB> # <TAB>  <TAB>  <TAB>  <TAB>  <TAB>    print ""paternity of %d is %d"" % (int(elems[0]), int(elems[1])) <TAB>  <TAB>  <TAB> parent_map[int(elems[0])] = int(elems[1]) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> print(""Odd paternity line '%s'"" % (line)) <TAB> return parent_map,if not line :,196",TRUE,"if', ' not', ' line', ' :',","if', ' not', ' line', ' :',",0,0
"def _get_next_cap(self): <TAB> # type: () -> bool <TAB> self._curr_cap = None <TAB> if self._curr_cap_idx is None: <TAB>  <TAB> self._curr_cap_idx = 0 <TAB>  <TAB> self._curr_cap = self._cap_list[0] <TAB>  <TAB> return True <TAB> else: <MASK> self._end_of_video = True <TAB>  <TAB>  <TAB> return False <TAB>  <TAB> self._curr_cap_idx += 1 <TAB>  <TAB> self._curr_cap = self._cap_list[self._curr_cap_idx] <TAB>  <TAB> return True,if not ( self . _curr_cap_idx + 1 ) < len ( self . _cap_list ) :,163",FALSE,"if', ' not', ' (', ' self', ' .', ' _', 'curr', '_', 'cap', '_', 'idx', ' +', ' 1', ' )', ' <', ' len', ' (', ' self', ' .', ' _', 'cap', '_', 'list', ' )', ' :',","if', ' self', ' self', ' self', ' .', ' _', 'curr', '_', 'cap', ' ==', 'idx', ' ==', ' 1', ' )', ' in', ' self', ' (', ' self', ' .', ' _', 'cap', '_', 'list', ' )', ' :',",0,0
"def decode_payload(args): <TAB> try: <TAB>  <TAB> if args.token: <TAB>  <TAB>  <TAB> token = args.token <TAB>  <TAB> else: <MASK> token = sys.stdin.readline().strip() <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> raise IOError(""Cannot read from stdin: terminal not a TTY"") <TAB>  <TAB> token = token.encode(""utf-8"") <TAB>  <TAB> data = decode(token, key=args.key, verify=args.verify) <TAB>  <TAB> return json.dumps(data) <TAB> except DecodeError as e: <TAB>  <TAB> raise DecodeError(""There was an error decoding the token: %s"" % e),if sys . stdin . isatty ( ) :,156",FALSE,"if', ' sys', ' .', ' stdin', ' .', ' is', 'at', 'ty', ' (', ' )', ' :',","if', ' args', ' .', ' stdin', ' .', ' is', 'at', 'ty', ' (', ' )', ' :',",0,0
"def cell_double_clicked(self, row, column): <TAB> if column == 3: <TAB>  <TAB> archive_name = self.selected_archive_name() <MASK> return <TAB>  <TAB> mount_point = self.mount_points.get(archive_name) <TAB>  <TAB> if mount_point is not None: <TAB>  <TAB>  <TAB> QDesktopServices.openUrl(QtCore.QUrl(f""file:///{mount_point}"")),if not archive_name :,107",FALSE,"if', ' not', ' archive', '_', 'name', ' :',","if', ' archive', ' archive', '_', 'name', ' :',",0,0
"def tiles_around(self, pos, radius=1, predicate=None): <TAB> ps = [] <TAB> x, y = pos <TAB> for dx in range(-radius, radius + 1): <TAB>  <TAB> nx = x + dx <MASK> for dy in range(-radius, radius + 1): <TAB>  <TAB>  <TAB>  <TAB> ny = y + dy <TAB>  <TAB>  <TAB>  <TAB> if ny >= 0 and ny < self.height and (dx != 0 or dy != 0): <TAB>  <TAB>  <TAB>  <TAB>  <TAB> if predicate is None or predicate((nx, ny)): <TAB>  <TAB>  <TAB>  <TAB>  <TAB>  <TAB> ps.append((nx, ny)) <TAB> return ps,if nx >= 0 and nx < self . width :,151",FALSE,"if', ' nx', ' >=', ' 0', ' and', ' nx', ' <', ' self', ' .', ' width', ' :',","if', ' nx', ' <', ' self', ' and', ' nx', ' <', ' self', ' .', ' width', ' :',",0,0
"def __init__(self, type, data, name=None): <TAB> Constant.__init__(self, type, data, name) <TAB> self.tag.unique_value = None <TAB> if isinstance(data, np.ndarray) and data.ndim > 0: <TAB>  <TAB> flat_data = data.ravel() <TAB>  <TAB> if flat_data.shape[0]: <MASK> self.tag.unique_value = flat_data[0],if ( flat_data == flat_data [ 0 ] ) . all ( ) :,118",FALSE,"if', ' (', ' flat', '_', 'data', ' ==', ' flat', '_', 'data', ' [', ' 0', ' ]', ' )', ' .', ' all', ' (', ' )', ' :',","if', ' len', ' len', '_', 'data', ' [', ' np', '_', 'data', ' .', ' 0', ' ]', ' )', ' .', ' ndim', ' (', ' )', ' :',",0,0
"def git_convert_standalone_clone(repodir): <TAB> """"""If specified directory is a git repository, ensure it's a standalone clone"""""" <TAB> import bb.process <TAB> if os.path.exists(os.path.join(repodir, "".git"")): <TAB>  <TAB> alternatesfile = os.path.join(repodir, "".git"", ""objects"", ""info"", ""alternates"") <MASK> # This will have been cloned with -s, so we need to convert it so none <TAB>  <TAB>  <TAB> # of the contents is shared <TAB>  <TAB>  <TAB> bb.process.run(""git repack -a"", cwd=repodir) <TAB>  <TAB>  <TAB> os.remove(alternatesfile),if os . path . exists ( alternatesfile ) :,166",TRUE,"if', ' os', ' .', ' path', ' .', ' exists', ' (', ' altern', 'ates', 'file', ' )', ' :',","if', ' os', ' .', ' path', ' .', ' exists', ' (', ' altern', 'ates', 'file', ' )', ' :',",0,0
"def _rename_recipe_file(oldrecipe, bpn, oldpv, newpv, path): <TAB> oldrecipe = os.path.basename(oldrecipe) <TAB> if oldrecipe.endswith(""_%s.bb"" % oldpv): <TAB>  <TAB> newrecipe = ""%s_%s.bb"" % (bpn, newpv) <MASK> shutil.move(os.path.join(path, oldrecipe), os.path.join(path, newrecipe)) <TAB> else: <TAB>  <TAB> newrecipe = oldrecipe <TAB> return os.path.join(path, newrecipe),if oldrecipe != newrecipe :,154",FALSE,"if', ' old', 'rec', 'ipe', ' !=', ' new', 'rec', 'ipe', ' :',","if', ' os', 'rec', 'ipe', ' .', ' new', 'rec', 'ipe', ' :',",0,0
"def profiling_startup(): <TAB> if ""--profile-sverchok-startup"" in sys.argv: <TAB>  <TAB> global _profile_nesting <TAB>  <TAB> profile = None <TAB>  <TAB> try: <TAB>  <TAB>  <TAB> profile = get_global_profile() <TAB>  <TAB>  <TAB> _profile_nesting += 1 <MASK> profile.enable() <TAB>  <TAB>  <TAB> yield profile <TAB>  <TAB> finally: <TAB>  <TAB>  <TAB> _profile_nesting -= 1 <TAB>  <TAB>  <TAB> if _profile_nesting == 0 and profile is not None: <TAB>  <TAB>  <TAB>  <TAB> profile.disable() <TAB>  <TAB>  <TAB> dump_stats(file_path=""sverchok_profile.txt"") <TAB>  <TAB>  <TAB> save_stats(""sverchok_profile.prof"") <TAB> else: <TAB>  <TAB> yield None,if _profile_nesting == 1 :,180",FALSE,"if', ' _', 'profile', '_', 'n', 'esting', ' ==', ' 1', ' :']","if', ' _', 'profile', '_', 'n', 'esting', ' ==', ' 0', ' and']",0,0
