cleaned_method,target_block,tokens_in_method
"def get_value(self): <TAB> for child in self.xml: <MASK> elem_name = child.tag.split(""}"")[-1] <TAB>  <TAB>  <TAB> if elem_name in self.moods: <TAB>  <TAB>  <TAB>  <TAB> return elem_name <TAB> return """"","if child . tag . startswith ( ""{%s}"" % self . namespace ) :",78
"def env_vars(self): <TAB> ret = {} <TAB> for section, values in self._table_vars.items(): <TAB>  <TAB> for env_var, var_name, default_value in values: <TAB>  <TAB>  <TAB> var_name = ""."".join([section, var_name]) if var_name else section <TAB>  <TAB>  <TAB> value = self._env_c(var_name, env_var, default_value) <MASK> ret[env_var] = str(value) <TAB> return ret",if value is not None :,123
"def save_existing_objects(self, commit=True): <TAB> objs = super().save_existing_objects(commit=commit) <TAB> for form in self.initial_forms: <MASK> admin_log.info( <TAB>  <TAB>  <TAB>  <TAB> 'Addon ""%s"" file (ID:%d) status changed to: %s' <TAB>  <TAB>  <TAB>  <TAB> % ( <TAB>  <TAB>  <TAB>  <TAB>  <TAB> self.instance.slug, <TAB>  <TAB>  <TAB>  <TAB>  <TAB> form.instance.id, <TAB>  <TAB>  <TAB>  <TAB>  <TAB> form.cleaned_data[""status""], <TAB>  <TAB>  <TAB>  <TAB> ) <TAB>  <TAB>  <TAB> ) <TAB> return objs","if ""status"" in form . changed_data :",149
"def generator(self, data): <TAB> for (good, filter, filter_name, filter_socket, member, ptr, module) in data: <MASK> status = ""UNKNOWN"" <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> status = ""OK"" <TAB>  <TAB> yield ( <TAB>  <TAB>  <TAB> 0, <TAB>  <TAB>  <TAB> [ <TAB>  <TAB>  <TAB>  <TAB> Address(filter.obj_offset), <TAB>  <TAB>  <TAB>  <TAB> str(filter_name), <TAB>  <TAB>  <TAB>  <TAB> str(member), <TAB>  <TAB>  <TAB>  <TAB> Address(filter_socket), <TAB>  <TAB>  <TAB>  <TAB> Address(ptr), <TAB>  <TAB>  <TAB>  <TAB> str(module), <TAB>  <TAB>  <TAB>  <TAB> str(status), <TAB>  <TAB>  <TAB> ], <TAB>  <TAB> )",if good == 0 :,160
"def writeChar(self, c): <TAB> if c == ""\n"": <TAB>  <TAB> self.cursor_y += self.textsize * 8 <TAB>  <TAB> self.cursor_x = 0 <TAB> elif c == ""\r"": <TAB>  <TAB> pass <TAB> else: <TAB>  <TAB> self.drawChar( <TAB>  <TAB>  <TAB> self.cursor_x, <TAB>  <TAB>  <TAB> self.cursor_y, <TAB>  <TAB>  <TAB> c, <TAB>  <TAB>  <TAB> self.textcolor, <TAB>  <TAB>  <TAB> self.textbgcolor, <TAB>  <TAB>  <TAB> self.textsize, <TAB>  <TAB> ) <TAB>  <TAB> self.cursor_x += self.textsize * 6 <MASK> self.cursor_y += self.textsize * 8 <TAB>  <TAB>  <TAB> self.cursor_x = 0",if self . wrap and ( self . cursor_x > ( self . _width - self . textsize * 6 ) ) :,191
"def _range_check(current_index, element_intervals, tensor_size): <TAB> results = [] <TAB> for comm_idx, interval in enumerate(element_intervals): <TAB>  <TAB> start_index, end_index = interval <TAB>  <TAB> contained, offset = _single_range_check( <TAB>  <TAB>  <TAB> current_index, start_index, end_index, tensor_size <TAB>  <TAB> ) <MASK> results.append((contained, offset, comm_idx)) <TAB> if len(results) == 0: <TAB>  <TAB> return [(False, 0, -1)] <TAB> return results",if contained :,138
"def test_time(self): <TAB> f = open(test_support.TESTFN, ""wb"") <TAB> try: <TAB>  <TAB> f.write(""foo"") <TAB>  <TAB> f.close() <TAB>  <TAB> f = open(test_support.TESTFN, ""ab"") <TAB>  <TAB> f.write(""bar"") <TAB>  <TAB> f.close() <TAB>  <TAB> f = open(test_support.TESTFN, ""rb"") <TAB>  <TAB> d = f.read() <TAB>  <TAB> f.close() <TAB>  <TAB> self.assertEqual(d, ""foobar"") <TAB>  <TAB> self.assertLessEqual( <TAB>  <TAB>  <TAB> self.pathmodule.getctime(test_support.TESTFN), <TAB>  <TAB>  <TAB> self.pathmodule.getmtime(test_support.TESTFN), <TAB>  <TAB> ) <TAB> finally: <MASK> f.close() <TAB>  <TAB> test_support.unlink(test_support.TESTFN)",if not f . closed :,198
"def process(stuff): <TAB> if isinstance(stuff, dict): <TAB>  <TAB> l = [(k, process(v)) for (k, v) in stuff.items()] <TAB>  <TAB> keys = set(stuff) <TAB>  <TAB> for order in orders: <MASK> return OrderedDict(sorted(l, key=lambda x: order.get(x[0], 0))) <TAB>  <TAB> return OrderedDict(sorted(l)) <TAB> if isinstance(stuff, list): <TAB>  <TAB> return [process(x) for x in stuff] <TAB> return stuff",if keys . issubset ( order ) or keys . issuperset ( order ) :,137
def jag_distortion(x): <TAB> is_in_mask = False <TAB> if x > 0: <TAB>  <TAB> for mask in positive_mask: <TAB>  <TAB>  <TAB> if x >= mask[0] and x <= mask[1]: <TAB>  <TAB>  <TAB>  <TAB> is_in_mask = True <TAB>  <TAB>  <TAB>  <TAB> return x <TAB>  <TAB> if not is_in_mask: <TAB>  <TAB>  <TAB> return 0.0 <TAB> elif x < 0: <TAB>  <TAB> abs_x = abs(x) <TAB>  <TAB> for mask in negative_mask: <MASK> is_in_mask = True <TAB>  <TAB>  <TAB>  <TAB> return x <TAB>  <TAB> if not is_in_mask: <TAB>  <TAB>  <TAB> return 0.0 <TAB> return x,if abs_x >= mask [ 0 ] and abs_x <= mask [ 1 ] :,183
"def exists(env): <TAB> if not (is_mac or is_linux or is_windows): <TAB>  <TAB> # can't handle this platform <TAB>  <TAB> return 0 <TAB> try: <TAB>  <TAB> versions = get_all_compiler_versions() <TAB> except (SCons.Util.RegError, IntelCError): <TAB>  <TAB> versions = None <TAB> detected = versions is not None and len(versions) > 0 <TAB> if not detected: <TAB>  <TAB> # try env.Detect, maybe that will work <MASK> return env.Detect(""icl"") <TAB>  <TAB> elif is_linux: <TAB>  <TAB>  <TAB> return env.Detect(""icc"") <TAB>  <TAB> elif is_mac: <TAB>  <TAB>  <TAB> return env.Detect(""icc"") <TAB> return detected",if is_windows :,174
"def copy(): <TAB> try: <TAB>  <TAB> rbytes = 0 <TAB>  <TAB> while True: <TAB>  <TAB>  <TAB> r = debug_job.pipes.output.r.read(1048576) <TAB>  <TAB>  <TAB> if r == b"""": <TAB>  <TAB>  <TAB>  <TAB> break <TAB>  <TAB>  <TAB> rbytes += len(r) <MASK> raise CallError(""Debug too large to attach"", errno.EFBIG) <TAB>  <TAB>  <TAB> tjob.pipes.input.w.write(r) <TAB> finally: <TAB>  <TAB> tjob.pipes.input.w.close()",if rbytes > DEBUG_MAX_SIZE * 1048576 :,144
"def name_or_ref(elem, top): <TAB> try: <TAB>  <TAB> (namespace, name) = _namespace_and_tag(elem, elem.ref, top) <MASK> return name <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> return elem.ref <TAB> except AttributeError: <TAB>  <TAB> return elem.name",if namespace and elem . xmlns_map [ namespace ] == top . target_namespace :,92
"def run_message_listeners(self, message: dict) -> None: <TAB> type = message.get(""type"") <MASK> self.logger.debug(f""Message processing started (type: {type})"") <TAB> try: <TAB>  <TAB> for listener in self.message_listeners: <TAB>  <TAB>  <TAB> try: <TAB>  <TAB>  <TAB>  <TAB> listener(self, message) <TAB>  <TAB>  <TAB> except Exception as e: <TAB>  <TAB>  <TAB>  <TAB> self.logger.exception(f""Failed to run a message listener: {e}"") <TAB> except Exception as e: <TAB>  <TAB> self.logger.exception(f""Failed to run message listeners: {e}"") <TAB> finally: <TAB>  <TAB> if self.logger.level <= logging.DEBUG: <TAB>  <TAB>  <TAB> self.logger.debug(f""Message processing completed (type: {type})"")",if self . logger . level <= logging . DEBUG :,191
"def close(self): <TAB> for item_type, file in self.file_mapping.items(): <TAB>  <TAB> close_silently(file) <TAB>  <TAB> counter = self.counter_mapping[item_type] <MASK> self.logger.info( <TAB>  <TAB>  <TAB>  <TAB> ""{} items exported: {}"".format(item_type, counter.increment() - 1) <TAB>  <TAB>  <TAB> )",if counter is not None :,94
"def run(self): <TAB> try: <TAB>  <TAB> out = subprocess.check_output([""cmake"", ""--version""]) <TAB> except OSError: <TAB>  <TAB> raise RuntimeError( <TAB>  <TAB>  <TAB> ""CMake must be installed to build the following extensions: "" <TAB>  <TAB>  <TAB> + "", "".join(e.name for e in self.extensions) <TAB>  <TAB> ) <TAB> if platform.system() == ""Windows"": <TAB>  <TAB> cmake_version = LooseVersion( <TAB>  <TAB>  <TAB> re.search(r""version\s*([\d.]+)"", out.decode()).group(1) <TAB>  <TAB> ) <MASK> raise RuntimeError(""CMake >= 3.1.0 is required on Windows"") <TAB> for ext in self.extensions: <TAB>  <TAB> self.build_extension(ext)","if cmake_version < ""3.1.0"" :",184
"def remote_run(cmd, instance_name, detach=False, retries=1): <TAB> """"""Run command on GCS instance, optionally detached."""""" <TAB> if detach: <TAB>  <TAB> cmd = SCREEN.format(command=cmd) <TAB> args = SSH.format(instance_name=instance_name).split() <TAB> args.append(cmd) <TAB> for i in range(retries + 1): <TAB>  <TAB> try: <TAB>  <TAB>  <TAB> if i > 0: <TAB>  <TAB>  <TAB>  <TAB> tf.logging.info(""Retry %d for %s"", i, args) <TAB>  <TAB>  <TAB> return sp.check_call(args) <TAB>  <TAB> except sp.CalledProcessError as e: <MASK> raise e",if i == retries :,166
"def _handle_log_message(self, args): <TAB> a = args[0] <TAB> if self.show_message_log and LOG_LEVELS[a[""level""]] >= self._min_log_level_number: <TAB>  <TAB> prefix = ""%s : %s : "" % (a[""timestamp""], a[""level""].rjust(5)) <TAB>  <TAB> message = a[""message""] <MASK> message = ""\n"" + message <TAB>  <TAB> self._messages_log_texts.put(prefix + message)","if ""\n"" in message :",126
"def set_totals(self): <TAB> total_sessions = 0 <TAB> total_sessions_completed = 0 <TAB> for entry in self.therapy_plan_details: <TAB>  <TAB> if entry.no_of_sessions: <TAB>  <TAB>  <TAB> total_sessions += entry.no_of_sessions <MASK> total_sessions_completed += entry.sessions_completed <TAB> self.db_set(""total_sessions"", total_sessions) <TAB> self.db_set(""total_sessions_completed"", total_sessions_completed)",if entry . sessions_completed :,127
"def elementClicked(self, root, hElem): <TAB> chain = [] <TAB> self.collectElementChain(chain, self.getElement(), hElem) <TAB> item = self.findItemByChain(chain, 0, root) <TAB> if item is not None: <TAB>  <TAB> if DOM.compare(item.getImageElement(), hElem): <TAB>  <TAB>  <TAB> item.setState(not item.getState(), True) <TAB>  <TAB>  <TAB> return True <MASK> self.onSelection(item, True) <TAB>  <TAB>  <TAB> return True <TAB> return False","elif DOM . isOrHasChild ( item . getElement ( ) , hElem ) :",145
"def log_sender_master(): <TAB> while True: <TAB>  <TAB> sender_master = coordinator.get_current_master() <MASK> logger.info(""Current sender master: %s"" % sender_master) <TAB>  <TAB> sleep(30)",if sender_master :,65
"def can_unify(self, other): <TAB> if other.is_var(): <TAB>  <TAB> return [(other, self)] <TAB> if other.is_function(): <TAB>  <TAB> sa = self._res.can_unify(other.res()) <TAB>  <TAB> sd = self._dir.can_unify(other.dir()) <TAB>  <TAB> if sa is not None and sd is not None: <TAB>  <TAB>  <TAB> sb = self._arg.substitute(sa).can_unify(other.arg().substitute(sa)) <MASK> return sa + sb <TAB> return None",if sb is not None :,134
"def add_entity(table, entity): <TAB> for e in table.entities: <MASK> throw( <TAB>  <TAB>  <TAB>  <TAB> MappingError, <TAB>  <TAB>  <TAB>  <TAB> ""Entities %s and %s cannot be mapped to table %s "" <TAB>  <TAB>  <TAB>  <TAB> ""because they don't belong to the same hierarchy"" <TAB>  <TAB>  <TAB>  <TAB> % (e, entity, table.name), <TAB>  <TAB>  <TAB> ) <TAB> assert ""_table_options_"" not in entity.__dict__ <TAB> table.entities.add(entity)",if e . _root_ is not entity . _root_ :,128
"def configure(self, **kw): <TAB> """"""Configure the image."""""" <TAB> res = () <TAB> for k, v in _cnfmerge(kw).items(): <TAB>  <TAB> if v is not None: <MASK> k = k[:-1] <TAB>  <TAB>  <TAB> if callable(v): <TAB>  <TAB>  <TAB>  <TAB> v = self._register(v) <TAB>  <TAB>  <TAB> res = res + (""-"" + k, v) <TAB> self.tk.call((self.name, ""config"") + res)","if k [ - 1 ] == ""_"" :",121
"def setter(tags, key, value): <TAB> encoded = [] <TAB> for v in value: <TAB>  <TAB> if not isinstance(v, text_type): <MASK> raise TypeError(""%r not str"" % v) <TAB>  <TAB>  <TAB> v = v.decode(""utf-8"") <TAB>  <TAB> encoded.append(v.encode(""utf-8"")) <TAB> tags[atomid] = encoded",if PY3 :,96
"def generate_tag_data(ids): <TAB> if len(ids) != SAMPLE_NUM: <TAB>  <TAB> raise ValueError(""len ids should equal to sample number"") <TAB> counter = 0 <TAB> for sample_i in range(SAMPLE_NUM): <TAB>  <TAB> one_data = [ids[sample_i]] <TAB>  <TAB> valid_set = [x for x in range(TAG_INTERVAL[0], TAG_INTERVAL[1])] <TAB>  <TAB> tags = np.random.choice(valid_set, FEATURE_NUM, replace=False) <TAB>  <TAB> one_data += [str(tag) for tag in tags] <TAB>  <TAB> counter += 1 <MASK> print(""generate data {}"".format(counter)) <TAB>  <TAB> yield one_data",if counter % 10000 == 0 :,171
"def _parse_date(dateString): <TAB> """"""Parses a variety of date formats into a 9-tuple in GMT"""""" <TAB> if not dateString: <TAB>  <TAB> return None <TAB> for handler in _date_handlers: <TAB>  <TAB> try: <TAB>  <TAB>  <TAB> date9tuple = handler(dateString) <TAB>  <TAB> except (KeyError, OverflowError, ValueError): <TAB>  <TAB>  <TAB> continue <MASK> continue <TAB>  <TAB> if len(date9tuple) != 9: <TAB>  <TAB>  <TAB> continue <TAB>  <TAB> return date9tuple <TAB> return None",if not date9tuple :,126
"def eval_f(x_value, y_value): <TAB> try: <TAB>  <TAB> return stored[(x_value, y_value)] <TAB> except KeyError: <TAB>  <TAB> value = cf(x_value, y_value) <MASK> value = float(value) <TAB>  <TAB> stored[(x_value, y_value)] = value <TAB>  <TAB> return value",if value is not None :,91
"def get_blob(self, blobname, ctlr=None): <TAB> self._acquire_lock() <TAB> try: <TAB>  <TAB> dbsubpath = self._dbsubpath_from_blobname(blobname, ctlr=ctlr) <MASK> return self.lang_zone.load_blob(dbsubpath) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> return None <TAB> finally: <TAB>  <TAB> self._release_lock()",if dbsubpath is not None :,105
"def run(self, task_id): <TAB> try: <MASK> env.meminfo.start(task_id, int(self.mem)) <TAB>  <TAB>  <TAB> if dpark.conf.MULTI_SEGMENT_DUMP: <TAB>  <TAB>  <TAB>  <TAB> env.meminfo.check = False <TAB>  <TAB> return self._run(task_id) <TAB> except KeyboardInterrupt as e: <TAB>  <TAB> if self.mem != 0 and env.meminfo.oom: <TAB>  <TAB>  <TAB> os._exit(ERROR_TASK_OOM) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> raise e <TAB> finally: <TAB>  <TAB> if self.mem != 0: <TAB>  <TAB>  <TAB> env.meminfo.check = True <TAB>  <TAB>  <TAB> env.meminfo.stop()",if self . mem != 0 :,174
"def wrapper(self, *args, **kwargs): <TAB> try: <TAB>  <TAB> return fun(self, *args, **kwargs) <TAB> except OSError: <TAB>  <TAB> # support for private module import <TAB>  <TAB> if NoSuchProcess is None or AccessDenied is None: <TAB>  <TAB>  <TAB> raise <TAB>  <TAB> err = sys.exc_info()[1] <TAB>  <TAB> if err.errno in ACCESS_DENIED_SET: <TAB>  <TAB>  <TAB> raise AccessDenied(self.pid, self._name) <MASK> raise NoSuchProcess(self.pid, self._name) <TAB>  <TAB> raise",if err . errno == errno . ESRCH :,137
"def getData(self, tagpath, pos, end, clean=False): <TAB> if clean: <TAB>  <TAB> digits_only = re.compile(rb""""""([0-9]+)"""""") <TAB> argres = [] <TAB> (foundat, argt) = self.findinDoc(tagpath, pos, end) <TAB> if (argt != None) and (len(argt) > 0): <TAB>  <TAB> argList = argt.split(b""|"") <TAB>  <TAB> for strval in argList: <TAB>  <TAB>  <TAB> if clean: <TAB>  <TAB>  <TAB>  <TAB> m = re.search(digits_only, strval) <MASK> strval = m.group() <TAB>  <TAB>  <TAB> argres.append(int(strval)) <TAB> return argres",if m != None :,164
"def save_related(self, request, form, formsets, change): <TAB> old_cms_pages = form.instance.cms_pages.all() <TAB> new_cms_pages = form.cleaned_data.pop(""cms_pages"") <TAB> # remove old <TAB> for page in old_cms_pages: <MASK> for pp in ProductPageModel.objects.filter(product=form.instance, page=page): <TAB>  <TAB>  <TAB>  <TAB> pp.delete() <TAB> # add new <TAB> for page in new_cms_pages: <TAB>  <TAB> if page not in old_cms_pages: <TAB>  <TAB>  <TAB> ProductPageModel.objects.create(product=form.instance, page=page) <TAB> return super().save_related(request, form, formsets, change)",if page not in new_cms_pages :,193
"def __mul__(self, other): <TAB> if isinstance(other, Vector3): <TAB>  <TAB> # TODO component-wise mul/div in-place and on Vector2; docs. <MASK> _class = Point3 <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> _class = Vector3 <TAB>  <TAB> return _class(self.x * other.x, self.y * other.y, self.z * other.z) <TAB> else: <TAB>  <TAB> assert type(other) in scalar_types <TAB>  <TAB> return Vector3(self.x * other, self.y * other, self.z * other)",if self . __class__ is Point3 or other . __class__ is Point3 :,155
"def create_time(self): <TAB> # special case for kernel process PIDs; return system boot time <TAB> if self.pid in (0, 4): <TAB>  <TAB> return boot_time() <TAB> try: <TAB>  <TAB> return cext.proc_create_time(self.pid) <TAB> except OSError: <TAB>  <TAB> err = sys.exc_info()[1] <MASK> return cext.proc_create_time_2(self.pid) <TAB>  <TAB> raise",if err . errno in ACCESS_DENIED_SET :,123
"def _chk_addr_relation_route(self, address_id): <TAB> # Check exist of related routing data. <TAB> relate_list = [] <TAB> gateways = self.routing_tbl.get_gateways() <TAB> for gateway in gateways: <TAB>  <TAB> address = self.address_data.get_data(ip=gateway) <TAB>  <TAB> if address is not None: <MASK> relate_list.append(address.address_id) <TAB>  <TAB>  <TAB> elif address.address_id == address_id: <TAB>  <TAB>  <TAB>  <TAB> relate_list = [address_id] <TAB>  <TAB>  <TAB>  <TAB> break <TAB> return relate_list",if address_id == REST_ALL and address . address_id not in relate_list :,170
"def check_acl_unknown(self, item): <TAB> acl = item.config.get(""Grants"", {}) <TAB> for key in acl.keys(): <MASK> entity = Entity(category=""ACL"", value=key) <TAB>  <TAB>  <TAB> self.record_unknown_access(item, entity, actions=acl[key])",if key . lower ( ) not in self . KNOWN_ACLS :,91
"def createFields(self): <TAB> i = 1 <TAB> while i < self.constant_pool_length: <TAB>  <TAB> name = ""%s[%d]"" % (self.name, i) <TAB>  <TAB> yield CPInfo(self, name) <TAB>  <TAB> i += 1 <MASK> i += 1","if self [ name ] . constant_type in ( ""Long"" , ""Double"" ) :",85
"def elb_ref_policy(elb_name, policy_names): <TAB> ref_policies = list() <TAB> client = get_client() <TAB> response = client.describe_load_balancer_policies( <TAB>  <TAB> LoadBalancerName=elb_name, PolicyNames=policy_names <TAB> ) <TAB> policies = response[""PolicyDescriptions""] <TAB> for policy in policies: <MASK> for attribute in policy[""PolicyAttributeDescriptions""]: <TAB>  <TAB>  <TAB>  <TAB> if attribute[""AttributeName""] == ""Reference-Security-Policy"": <TAB>  <TAB>  <TAB>  <TAB>  <TAB> ref_policies.append(attribute[""AttributeValue""]) <TAB> return ref_policies","if policy [ ""PolicyTypeName"" ] == ""SSLNegotiationPolicyType"" :",173
"def Decode(decoder): <TAB> type_id = 0 <TAB> message = None <TAB> while 1: <TAB>  <TAB> tag = decoder.getVarInt32() <TAB>  <TAB> if tag == TAG_END_ITEM_GROUP: <TAB>  <TAB>  <TAB> break <TAB>  <TAB> if tag == TAG_TYPE_ID: <TAB>  <TAB>  <TAB> type_id = decoder.getVarUint64() <TAB>  <TAB>  <TAB> continue <MASK> message = decoder.getPrefixedString() <TAB>  <TAB>  <TAB> continue <TAB>  <TAB> if tag == 0: <TAB>  <TAB>  <TAB> raise ProtocolBuffer.ProtocolBufferDecodeError <TAB>  <TAB> decoder.skipData(tag) <TAB> if type_id == 0 or message is None: <TAB>  <TAB> raise ProtocolBuffer.ProtocolBufferDecodeError <TAB> return (type_id, message)",if tag == TAG_MESSAGE :,177
"def readfd(fd): <TAB> while True: <TAB>  <TAB> try: <TAB>  <TAB>  <TAB> return os.read(fd, 1) <TAB>  <TAB> except OSError as e: <MASK> raise <TAB>  <TAB>  <TAB> hubs.trampoline(fd, read=True)",if e . errno != errno . EAGAIN :,78
"def set_menu_bar(self, menubar): <TAB> if menubar is not self._menubar: <MASK> self.remove(self._menubar) <TAB>  <TAB> self._menubar = menubar <TAB>  <TAB> if menubar: <TAB>  <TAB>  <TAB> if menubar.width == 0: <TAB>  <TAB>  <TAB>  <TAB> menubar.width = self.width <TAB>  <TAB>  <TAB>  <TAB> menubar.anchor = ""lr"" <TAB>  <TAB>  <TAB> self.add(menubar)",if self . _menubar :,101
"def _socket_opts(): <TAB> for opt in (""https"", ""http"", ""socket""): <TAB>  <TAB> if opt in uwsgi.opt: <TAB>  <TAB>  <TAB> val = uwsgi.opt[opt] <MASK> for v in val: <TAB>  <TAB>  <TAB>  <TAB>  <TAB> yield (opt, v) <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> yield (opt, val)","if isinstance ( val , list ) :",95
"def validate_seat_category_mapping(self, value): <TAB> if not self.instance or not self.instance.pk: <MASK> raise ValidationError( <TAB>  <TAB>  <TAB>  <TAB> ""You cannot specify seat category mappings on event creation."" <TAB>  <TAB>  <TAB> ) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> return {""seat_category_mapping"": {}} <TAB> item_cache = {i.pk: i for i in self.instance.items.all()} <TAB> result = {} <TAB> for k, item in value[""seat_category_mapping""].items(): <TAB>  <TAB> if item not in item_cache: <TAB>  <TAB>  <TAB> raise ValidationError(""Item '{id}' does not exist."".format(id=item)) <TAB>  <TAB> result[k] = item_cache[item] <TAB> return {""seat_category_mapping"": result}","if value and value [ ""seat_category_mapping"" ] :",198
"def clear_suffix_value(self, suffix_or_name, expand=True): <TAB> """"""Set the suffix value for this component data"""""" <TAB> if isinstance(suffix_or_name, six.string_types): <TAB>  <TAB> import pyomo.core.base.suffix <TAB>  <TAB> for name_, suffix_ in pyomo.core.base.suffix.active_suffix_generator( <TAB>  <TAB>  <TAB> self.model() <TAB>  <TAB> ): <MASK> suffix_.clear_value(self, expand=expand) <TAB>  <TAB>  <TAB>  <TAB> break <TAB> else: <TAB>  <TAB> suffix_or_name.clear_value(self, expand=expand)",if suffix_or_name == name_ :,158
"def testDBStatus(self): <TAB> ""Verify db status function"" <TAB> self.assertRaises(TypeError, self.db.status, ""zebra"") <TAB> self.assertRaises(apsw.SQLError, self.db.status, 2323) <TAB> for i in apsw.mapping_db_status: <MASK> continue <TAB>  <TAB> res = self.db.status(getattr(apsw, i)) <TAB>  <TAB> self.assertEqual(len(res), 2) <TAB>  <TAB> self.assertEqual(type(res), tuple) <TAB>  <TAB> if i != ""SQLITE_DBSTATUS_CACHE_USED"": <TAB>  <TAB>  <TAB> self.assertTrue(res[0] <= res[1])","if type ( i ) != type ( """" ) :",166
"def _current_url(self): <TAB> """"""Convenience method to get the current url."""""" <TAB> try: <TAB>  <TAB> return self._tabbed_browser.current_url() <TAB> except qtutils.QtValueError as e: <TAB>  <TAB> msg = ""Current URL is invalid"" <MASK> msg += "" ({})"".format(e.reason) <TAB>  <TAB> msg += ""!"" <TAB>  <TAB> raise cmdutils.CommandError(msg)",if e . reason :,103
"def match_instances_and_subnets_callback( <TAB> self, current_config, path, current_path, instance_id, callback_args): <TAB> if ( <TAB>  <TAB> ""ec2"" in self.service_list and ""vpc"" in self.service_list <TAB> ):  # validate both services were included in run <TAB>  <TAB> subnet_id = current_config[""SubnetId""] <TAB>  <TAB> if subnet_id: <TAB>  <TAB>  <TAB> vpc = self.subnet_map[subnet_id] <TAB>  <TAB>  <TAB> subnet = self.services[""vpc""][""regions""][vpc[""region""]][""vpcs""][ <TAB>  <TAB>  <TAB>  <TAB> vpc[""vpc_id""] <TAB>  <TAB>  <TAB> ][""subnets""][subnet_id] <TAB>  <TAB>  <TAB> manage_dictionary(subnet, ""instances"", []) <MASK> subnet[""instances""].append(instance_id)","if instance_id not in subnet [ ""instances"" ] :",200
"def best_match(self, offers, default_match=None): <TAB> best_quality = -1 <TAB> best_match = default_match <TAB> for offer in offers: <TAB>  <TAB> _check_offer(offer) <TAB>  <TAB> if isinstance(offer, (list, tuple)): <TAB>  <TAB>  <TAB> offer, quality = offer <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> quality = 1 <MASK> best_offer = offer <TAB>  <TAB>  <TAB> best_quality = quality <TAB> return best_offer",if quality > best_quality :,118
"def common_dir_prefix(paths: List[str]) -> str: <TAB> if not paths: <TAB>  <TAB> return ""."" <TAB> cur = os.path.dirname(os.path.normpath(paths[0])) <TAB> for path in paths[1:]: <TAB>  <TAB> while True: <TAB>  <TAB>  <TAB> path = os.path.dirname(os.path.normpath(path)) <MASK> cur = path <TAB>  <TAB>  <TAB>  <TAB> break <TAB> return cur or "".""",if ( cur + os . sep ) . startswith ( path + os . sep ) :,123
"def test_chflags(self): <TAB> if hasattr(posix, ""chflags""): <TAB>  <TAB> st = os.stat(test_support.TESTFN) <MASK> posix.chflags(test_support.TESTFN, st.st_flags)","if hasattr ( st , ""st_flags"" ) :",66
"def reset_signals(handler=_shutdown_cleanup, full=False): <TAB> for sig in TERMSIGS_FULL if full else TERMSIGS_DEFAULT: <TAB>  <TAB> num = signum(sig) <TAB>  <TAB> if num: <MASK> maybe_setsignal(num, handler) <TAB> for sig in TERMSIGS_IGNORE: <TAB>  <TAB> num = signum(sig) <TAB>  <TAB> if num: <TAB>  <TAB>  <TAB> maybe_setsignal(num, signal.SIG_IGN)","if _should_override_term_signal ( sig , signal . getsignal ( num ) ) :",135
"def layout_len(layout): <TAB> r = 0 <TAB> for f in layout: <TAB>  <TAB> if isinstance(f[1], (int, tuple)):  # cases 1/2 <TAB>  <TAB>  <TAB> if len(f) == 3: <TAB>  <TAB>  <TAB>  <TAB> fname, fsize, fdirection = f <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> fname, fsize = f <TAB>  <TAB> elif isinstance(f[1], list):  # case 3 <TAB>  <TAB>  <TAB> fname, fsublayout = f <TAB>  <TAB>  <TAB> fsize = layout_len(fsublayout) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> raise TypeError <MASK> r += fsize[0] <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> r += fsize <TAB> return r","if isinstance ( fsize , tuple ) :",170
"def _check_launch_index(value): <TAB> if ""instance_properties"" in value: <TAB>  <TAB> if ""launch_index"" in value[""instance_properties""]: <TAB>  <TAB>  <TAB> index = value[""instance_properties""][""launch_index""] <MASK> return True <TAB> return False",if index == expected_index :,76
"def _iterateElementsPairwise(self, inputStream): <TAB> elementBuffer = [] <TAB> prototype = ( <TAB>  <TAB> chord.Chord, <TAB>  <TAB> note.Note, <TAB>  <TAB> note.Rest, <TAB> ) <TAB> for element in inputStream.flat: <TAB>  <TAB> if not isinstance(element, prototype): <TAB>  <TAB>  <TAB> continue <TAB>  <TAB> elementBuffer.append(element) <MASK> yield tuple(elementBuffer) <TAB>  <TAB>  <TAB> elementBuffer.pop(0)",if len ( elementBuffer ) == 2 :,119
